,Song Name,Album Name,Group Name,Lyrics
885,Hybrid Moments,Static Age,Misfits,"If you're gonna scream, scream with me Moments like this never last When do creatures rape your face Hybrids opened up the door  Ooh baby when you cry Your face is momentary You hide your looks behind these scars  In hybrid moments Give me a moment  Give me a moment Give me a moment  Ooh baby when you cry Your face is momentary You hide your looks behind these scars  In hybrid moments In hybrid moments  In hybrid moments In hybrid moments  Give me a moment Give me a moment"
886,Hyper Enough,Here's Where the Strings Come In,Superchunk,If it weren't for those (laughter guns) you're riding on You would not exist If it weren't for the flashlight shining in my face Maybe I could resist  I think I'm hyper enough as it is I think I'm hyper enough as it is I think I'm hyper enough as it is I think I'm hyper enough  When all our bones and muscles hurt  What's so funny about that? When you remember a saying you can't relearn What's so funny about that?  I think I'm hyper enough as it is I think I'm hyper enough as it is I think I'm hyper enough as it is I think I'm hyper enough  And I know you are never wrong I know you are never wrong I was not weak but the drink was strong I know you are never wrong  I think I'm hyper enough as it is I think I'm hyper enough as it is
887,Hypnotised,Hypnotised [US Bonus Tracks],The Undertones,I was out on own My friends weren't there Just about to go home When you made me stare  I fell into a trance Just watching you dance My world just stopped when I saw your eyes on me H-Y-P I'm hypnotised H-Y-P I'm hypnotised H-Y-P  People look at me Standing by my self But I only can see You and no one else  I was still in a trance Still watching you dance My world ...  Now the dancing just stopped And the doors are open But I'm still on the spot Your spell isn't broken I'm still in a trance Even though you won't dance My world
888,I Am a Cliché,Let's Submerge: The Anthology,X-Ray Spex,"I am a cliche I am a cliche, I am a cliche  I am a cliche, I am a cliche  I am a cliche you've seen before  ..."
889,I Am a Cliche',Germ Free Adolescents,X-Ray Spex,"I am a cliche I am a cliche, I am a cliche  I am a cliche, I am a cliche  I am a cliche you've seen before  ..."
890,I Am the Fly,Chairs Missing,Wire,"Crawling Over your window you think I'm confused I'm waiting for the divergent wasp To complete my current ruse You use a plate-glass screen To protect my chosen target But there's an air-pellet hole I can crawl through to you I am the fly in the ointment I can spread more disease Than the fleas which nibble away At your window display Yes, I am the fly in the ointment I shake you down to say please As you accept the next dose of disease  I am the fly, I am the fly, I am the fly, I am the fly  Fly in the, fly in the ointment I am the fly, I am the fly, I am the fly, I am the fly  Fly in the, fly in the ointment  I am the fly, I am the fly, I am the fly, I am the fly  Fly in the, fly in the ointment Yes, I am the fly, I am the fly, I am the fly, I am the fly  Fly in the, fly in the ointment  I am the fly, I am the fly, I am the fly, I am the fly  Fly in the, fly in the ointment Yes, I am the fly, I am the fly, I am the fly, I am the fly  Fly in the, fly in the ointment  I am the fly"
891,I and I Survive,Live,Bad Brains,"Why must all the people keep on shooting and robbing. Why? Why must must all the people keep on killing and fighting. No, not I. I and I will would never try. No, not I. I and I would never try. And why must the rich man keep on hoarding all his money. And why must the this poor man, my living ain't very funny. No, not I. I and I would never try. No not I. I and I would never try, try to live that way. And what did Jah show them. I and I survive. They tried to stop this nation. But I and I survive. To chant down creation, I and I survive. And once again a nation."
892,I Apologize,New Day Rising,Hüsker Dü,"All these crazy mixed up lies They're floating all around Making these assumptions brings me down And you get tight-lipped, how do I know what you think?  Is it something I said when I lost my mind? Temper too quick, makes me blind  I apologize  Said I'm sorry, now it's your turn, Can you look me in the eyes and apologize?  So now we sit around staring at the walls We don't do anything at all Take out the garbage, maybe, but the dishes don't get done"
893,I Believe,A Different Kind of Tension,Buzzcocks,"In these times of contention, it's not my intention to make things plain I'm looking through mirrors to catch the reflection that can't be mine I'm losing control now, I'll just have to slow down a thought or two I can't feel the future and I'm not even certain that there is a past  I believe in the worker's revolution And I believe in the final solution I believe in, I believe in I believe in the shape of things to come And I believe, I'm not the only one Yes, I believe in, I believe in  When I poison my system, I take thoughts and twist them into shapes I'm reachin' my nadir and I haven't an idea of what to do I'm painting by numbers but can't find the colors that fill you in I'm not even knowing if I'm coming or going, if to end or begin  I believe in the immaculate conception And I believe in the resurrection And I believe in, I believe in I believe in the elixir of youth And I believe in the absolute truth Yes I believe in, I believe in  There is no love in this world anymore There is no love in this world anymore  I've fallen from favor while tryin' to savor experience I'm seein' things clearly but it has quite nearly blown my mind It's the aim of existence to offer resistance to the flow of time Everything is and that is why, it is will be the line  I believe in perpetual motion And I believe in perfect devotion I believe in, I believe in I believe in the things I've never had And I believe in my mum and my dad And I believe in, I believe in  There is no love in this world anymore There is no love in this world anymore  I'm skippin' the pages of a book that takes ages for the foreword to end Triangular cover concealing another aspect from view My relative motion is just an illusion from stopping too fast The essence of being these feelings I'm feeling, I just want them to last  I believe in original sin And I believe what I believe in Yes I believe in, I believe in I believe in the web of fate And I believe, I'm goin' to be late So I'll be leavin', what I believe in  There is no love in this world anymore There is no love in this world anymore There is no love in this world anymore ..."
894,I Believe I Can Fly,Rake It In: The Greatest Hits,Me First and the Gimme Gimmes,"I used to think that I could not go on And life was nothing but an awful song  But now I know the meaning of true love  And I'm leaning on the everlasting arms   If I can see it, then I can do it  If I just believe it, there's nothing to it   I believe I can fly  I believe I can touch the sky  I think about it every night and day  Spread my wings and fly away  I believe I can soar  I see me running through that open door  I believe I can fly  I believe I can fly  Oh I believe I can fly   See I was on the verge of breaking down  Sometimes silence can seem so loud  There are miracles in life I must achieve  But first I know it starts inside of me   If I can see it, then I can be it  If I can believe it, there's nothing to it   I believe I can fly  I believe I can touch the sky  I think about it every night and day  Spread my wings and fly away  I believe I can soar  I see me running through that open door  I believe I can fly  I believe I can fly  I believe I can fly   Could I believe in you?  If I can see it, then I can do it  If I can believe it, there's nothing to it   I believe I can fly I believe I can touch the sky  I think about it every night and day  Spread my wings and fly away  I believe I can soar  I see me running through that open door  I believe I can fly  I believe I can fly  I believe I can fly I believe I can fly, oh yeah"
895,I Believe in Miracles,The Chrysalis Years,Ramones,"I used to be on an endless run; Believed in miracles 'cause I'm one. I've been blessed with the power to survive; After all these years I'm still alive. I'm out here kickin' with the band; Oh I'm no longer a solitary man. Every day my time runs out. Lived like a fool, that's what I was about.  Oh I believe in miracles Oh I believe in a better world for me and you Oh-oh-oh, I believe in miracles Oh I believe in a better world for me and you  Tattooed your name on my arm; I always said my girl's a good luck charm. If she can find a reason to forgive Then I can find a reason to live  Oh I believe in miracles Oh I believe in a better world for me and you Oh-oh-oh, I believe in miracles Oh I believe in a better world for me and you  I close my eyes and think how it might be The future's here today It's not too late It's not too late, no!  Oh I believe in miracles Oh I believe in a better world for me and you Oh-oh-oh, I believe in miracles Oh I believe in a better world for me and you, you, you..."
896,I Can Only Give You Everything,Purity Accuracy [Box Set],MC5,"I can't give you more than what I've got I can't expect to give what I have not I-I-I can only give ya lovin' 'till the sun goes down And, until the leaves of summer turn to shades of brown  I try and I try But baby, you know that I Can only give you evra'thing  I can't argue with you to understand Cause afterall, I am just a man You are on my mind When stars appear and shadows fall And when ev'ra little flower close And no birds call  I try and I try But baby, you know that I Can only give you evra'thing  I can't argue with you to understand Cause afterall, I am just a man You are on my mind When stars appear and shadows fall And when ev'ra little flower close And no birds call  I try and I try But baby, you know that I Can only give you evra'thing  Evra'thing, baby A little bit of this, a little bit of that And evra'thing Ooh, ooh, ooh Ooh, ooh, ooh Whoa, ooh, ooh Whoa, ooh, ooh Yeah, yeah, yeah"
897,I Can See You,In My Head,Black Flag,"I can see you  You can see me  I can hear you  You can hear me  I can feel you  You can feel me  I can see you  You can see me  I can hear you  You can hear me  I can feel you  You can feel me   Don't Stab me in the back  Don't Stab me in the back  Don't Stab me in the back  Don't Stab me in the back   I can see you  You can see me  I can hear you  You can hear me  I can feel you  You can feel me  I can see you  You can see me  I can hear you  You can hear me  I can feel you  You can feel me   Don't Stab me in the back  Don't Stab me in the back  Don't Stab me in the back  Don't Stab me in the back  Don't Stab me in the back  Don't Stab me in the back  Don't Stab me in the back  Don't Stab me in the back   I can see you   You can see me I can hear you  You can hear me I can feel you  You can feel me I can see you  You can see me I can hear you  You can hear me I can feel you   You can feel me   Don't Stab me in the back  Don't Stab me in the back  Don't Stab me in the back  Don't Stab me in the back   I can feel you  Really, I can,  Friend"
898,I Can't Make It on Time,End of the Century,Ramones,"I can't make it on time I can't make it on time I keep tryin' and tryin' I can't make it on time  I can't hurry and you can't wait It doesn't matter 'cause we're already late I can't get off the telephone It always rings when I'm alone  You gotta wait wait Cause you don't need no one Wait wait Cause you know that I'm the one You gotta wait Hey, hey, hey"
899,I Do,I Do,Beatsteaks,"Hey!  ""Let's get married Let me be your man"" Said the cat to the canary Now will you let me in? From rusty cages Away, I'll carry you Sooner or later I'll make you say ""I do"" Do, do, do, do, do, do, do, do, do, do, do, do, do, do  ""Let's get married We go away"" Said the secretary You rule and I obey Don't you worry 'Cause I can hold you Don't you worry I'll make you say ""I do"" Do, do, do, do, do, do, do, do, do, do, do, do  Love gets better Grow old (yeah) together White trash Black shoes Just say ""I, I do"" I do, I do, I do, I do, yeah Hallelujah! Hallelujah!  Let's get married Let me be your man An oldschool favor We'll make true again Sooner or later, yeah I'll make you say ""I do"" I'll make you say ""I do"" I'll make you say ""I do"" Just let me be your man Let me be your man Let me be your man"
900,I Don't Care,Rocket to Russia,Ramones,I don't care (he don't care) I don't care (he don't care) I don't care (he don't care) About this world I don't care (he don't care) About that girl I don't care (he don't care)  I don't care (he don't care) I don't care (he don't care) I don't care (he don't care) About these words I don't care About that girl I don't care  I don't care I don't care I don't care I don't care I don't care I don't care  I don't care (he don't care) I don't care (he don't care) I don't care (he don't care) About these words I don't care About that girl I don't care
901,I don't care as long as you sing,Smack Smash,Beatsteaks,And I don't care as long as you sing And I don't care as long as we swing And I don't care as long as you sing  I get everything right And I want you to Get everything right I'm not playing rude I get everything right Get up and swing You make me sing  So here we go it doesn't pay It won't protect me no more When I get up I break it down I'll double back and for sure I go back to zero  Get up  I swallow a lot If the pressure is up And the feeling I've got Is I'm not gonna stop We are back in the early morning Back in the early morning  So here we go it doesn't pay It won't protect me no more When I get up I break it down I'll double back and for sure I go back to zero  So here we go it doesn't pay It won't protect me no more When I get up I break it down I'll double back and for sure I go back to zero  And I don't care as long as you sing And I don't care as long as we swing And I don't care as long as you sing  Get up  So here we go it doesn't pay It won't protect me no more When I get up I break it down I'll double back and for sure I go back to zero  So here we go it doesn't pay It won't protect me no more When I get up I break it down I'll double back and for sure I go back to zero  So here we go come on  I get everything right And I want you to Get everything right I'm not playing rude I get everything right Get up and swing
902,I Don't Know,It Ain't Over 'Til the Fat Roadies Play,The Replacements,"Do we give it up? (I don't know) Should we give it hell? (I don't know) Are you makin' a fortune? (I don't know) Or don't you wanna tell? (I don't know) Should we give it up? (I don't know) Or hang around some more? (I don't know) Should we buy some beer? (I don't know) Can I use your hairspray?  One foot in the door, the other foot in the gutter The sweet smell that you adore, yeah I think I'd rather smother  Should we top it off? (I don't know) It's startin' to smoke (I don't know) Who's behind the board? (I don't know) They tell me he's a dope (I don't know) What the f*ck you sayin'? (I don't know) Our lawyer's on the phone (I don't know) How much are you in for? (I don't know) What did we do now?  One foot in the door, the other one in the gutter The sweet smell that they adore, I think I'd rather smother  One foot in the door, the other one in the gutter The sweet smell that they adore, well I think I'd rather smother  (4-5-6-7-8-9-10-11-12)  Are you guys still around? (I don't know) Whatcha gonna do with your lives? (Nothin'!)  One foot in the door, the other one in the gutter The sweet smell that you adore, hey I think I'd rather smother  One foot in this door, the other one in the gutter The sweet smell that they adore, oh I think I'd rather smother"
903,I Don't Mind,Another Music in a Different Kitchen,Buzzcocks,"Reality's a dream A game in which I seem to never find out just what I am I don't know if I'm an actor or ham A shaman or sham but if you don't mind, I don't mind  I'm lost without a clue So how can I undo the tangle of these webs I keep weaving? I don't know if I should be believing Deceptive perceiving but if you don't mind, I don't mind  I used to bet that you didn't care But gambling never got me anywhere Each time I used to feel so sure Something about you made me doubt you more  How can you convince me When everything I see just makes me feel you're putting me down And if it's true, this pathetic clown'll keep hanging around That's if you don't mind, I don't mind  I used to bet that you didn't care But gambling never got me anywhere Each time I used to be so sure Something about you made me doubt you more  I even think you hate me when you call me on the phone And sometimes when we go out, then I wish, I'd stayed at home And when I'm dreaming or just lying in my bed I think you've got it in for me, is it all in my head, is it in my head?  How can you convince me When everything I see Just makes me feel you're putting me down And if it's true this pathetic clown'll keep hanging around That's if you don't mind, I don't mind, I don't mind"
904,I Don't Seem to Care,Songs in the Key of Bree,Buck-O-Nine,I don't seem to care about Going' to school The golden rule Reading a book The president's a crook  moral values A nightly news Gettin' a job That I'm a beer drinking slob  some people call me apathetic (but at least I don't read dianetics)  I don't seem to care about Hypocrites Politics Hippy chicks Porno flicks
905,I Don't Wanna Be a Homosexual,Destroyed,Sloppy Seconds,"People are telling me That I'm missing out on the fun 'Cause I don't go anywhere And I don't meet anyone  But I know how rumors fly When you're a lonely guy And I'm here to tell you it's a lie  There's strange things going on At night most everywhere You know those places well And you've never seen me there  I walk by other men And I don't notice them But then those rumors start again  So I'm gonna tell the world I don't wanna be a homosexual I'm gonna find a girl 'Cause I don't wanna be a homosexual I guess that it's okay If other guys are gay But my hormones are one-directional And I don't wanna be a homosexual  Somebody tell me what I did to start this talk Is it the way I look; is it the way I walk?  Is it the clothes I wear That make the people stare? Is it the way I comb my hair?  I'm only hoping maybe there will come a day When I can make them understand that I'm not gay  But till that day is here I guess I'll live in fear And I curse the day I pierced my ear  There's nothing wrong with me I don't wanna be a homosexual Know what I want to be And I don't wanna be a homosexual  Soft boys and closet queens Think Judy Garland's keen But I don't think she's nothing special And I don't wanna be a homosexual  So now I'm wondering if maybe they're not right I've gone all paranoid and I can't sleep at night  I went to see the shrink What did the doctor think? I swear to God I saw him wink  I pray that I am wrong I don't wanna be a homosexual Why did I write this song If I don't wanna be a homosexual?  I hope it's not too late For them to set me straight I'm gonna see a real professional 'Cause I don't wanna be a homosexual  No No, no, no, no No, no, no, no, no No, no, no, no, no, no  I don't wanna be a homosexual . . .  I don't wanna go with guys named Seamus I don't wanna be rich and famous I don't wanna go to a French art festival I don't wannt be a homosexual  I guess that it's okay If other guys are gay"
906,I Don't Wanna Go Out,Aspirations,X,"I...don't wanna go out  I...don't wanna stay in  I'll sit inside my box and vandalize my dirty mind   I...don't wanna go out  I...don't wanna stay in  I'll sit inside my room and vandalize my dirty mind  I won't get any food but then I'll eat myself alive   I...am bumming you out  I...am doing you in  This mess is running in and out of every part of me  The less that I am wanting you, the more I want to see  You got a silver bullet, at my heart you're aiming  You're gonna shoot me down if I just start complaining  You only want me when you got me pleading  When you got me on my knees then you should stop my bleeding   Do it, no don't ever make me do it  There's hostility from everyone around, yeah  Do it, no don't ever make me do it  There's hostility from everyone around, yeah   Do it, no don't ever make me do it  There's hostility from everyone around, yeah   Do it, no don't ever make me do it  There's hostility from everyone around, yeah   Do it, no don't ever make me do it  There's hostility from everyone around, yeah"
907,I Don't Wanna Walk Around With You,Live at the Roxy 1976,Ramones,I don't want to walk around with you I don't want to walk around with you I don't want to walk around with you So why you want to walk around with me? I don't want to walk around with you I don't want to walk around with you  I don't want to walk around with you I don't want to walk around with you I don't want to walk around with you So why you want to walk around with me? I don't want to walk around with you I don't want to walk around with you  I don't want to walk around with you I don't want to walk around with you I don't want to walk around with you So why you want to walk around with me? I don't want to walk around with you I don't want to walk around with you  I don't want to walk around with you I don't want to walk around with you I don't want to walk around with you So why you want to walk around with me? I don't want to walk around with you I don't want to walk around with you
908,I Don't Want to Grow Up,¡Adios Amigos!,Ramones,"When I'm lyin' in my bed at night I don't want to grow up Nothing ever seems to turn out right I don't want to grow up  How do you move in a world of fog that's Always changing things Makes wish that I could be a dog  When I see the price that you pay I don't want to grow up I don't ever want to be that way I don't want to grow up  Seems that folks turn into things That they never want The only thing to live for is today...  I'm gonna put a hole in my T.V. set I don't want to grow up Open up the medicine chest I don't want to grow up  I don't want to have to shout it out I don't want my hair to fall out I don't want to be filled with doubt I don't want to be a good boy scout I don't want to have to learn to count I don't want to have the biggest amount I don't want to grow up  Well when I see my parents fight I don't want to grow up They all go out and drinkin' all night I don't want to grow up  I'd rather stay here in my room Nothin' out there but sad and gloom I don't want to live in a big old tomb on Grand street When I see the 5 o'clock news I don't want to grow up Comb their hair and shine their shoes I don't want to grow up  Stay around in my old hometown I don't want to put no money down I don't want to get a big old loan Work them fingers to the bone I don't want to float on a broom Fall in love, get married then boom How the hell did it get here so soon  I don't want to grow up"
909,I Don't Want You,Live on German Television: The Musikladen Recordings 1978,Ramones,"You said that you'd be true Baby said that you'd be true I don't care, I don't care  I don't care, I don't care I don't want you  Don't want you  I don't want you anymore You said that you'd be mine  Baby said that you'd be mine I don't care, I don't care  I don't care, I don't care I don't want you...  I want you I want you to stay But I guess that it just can't be that way  You said that you'd be true  Baby said that you'd be true I don't care, I don't care  I don't care, I don't care I don't want you...  Don't want want you..."
910,I Don’T Care,Live In Europe: Head Bangers Bring Down the House,Ramones,"I don't care, he don't care I don't care, he don't care I don't care, about this world I don't care, about that girl I don't care, he don't care  I don't care, he don't care I don't care, he don't care I don't care, about this world I don't care, about that girl I don't care, he don't care  I don't care, I don't care I don't care, I don't care I don't care, I don't care  I don't care, he don't care I don't care, he don't care I don't care, about this world I don't care, about that girl I don't care"
911,I Don’t Know,The Sire Years,The Replacements,"Do we give it up? (I don't know) Should we give it hell? (I don't know) Are you makin' a fortune? (I don't know) Or don't you wanna tell? (I don't know) Should we give it up? (I don't know) Or hang around some more? (I don't know) Should we buy some beer? (I don't know) Can I use your hairspray?  One foot in the door, the other foot in the gutter The sweet smell that you adore, yeah I think I'd rather smother  Should we top it off? (I don't know) It's startin' to smoke (I don't know) Who's behind the board? (I don't know) They tell me he's a dope (I don't know) What the f*ck you sayin'? (I don't know) Our lawyer's on the phone (I don't know) How much are you in for? (I don't know) What did we do now?  One foot in the door, the other one in the gutter The sweet smell that they adore, I think I'd rather smother  One foot in the door, the other one in the gutter The sweet smell that they adore, well I think I'd rather smother  (4-5-6-7-8-9-10-11-12)  Are you guys still around? (I don't know) Whatcha gonna do with your lives? (Nothin'!)  One foot in the door, the other one in the gutter The sweet smell that you adore, hey I think I'd rather smother  One foot in this door, the other one in the gutter The sweet smell that they adore, oh I think I'd rather smother"
912,I Don’T Wanna Walk Around With You,Live In Europe: Head Bangers Bring Down the House,Ramones,I don't want to walk around with you I don't want to walk around with you I don't want to walk around with you So why you want to walk around with me? I don't want to walk around with you I don't want to walk around with you  I don't want to walk around with you I don't want to walk around with you I don't want to walk around with you So why you want to walk around with me? I don't want to walk around with you I don't want to walk around with you  I don't want to walk around with you I don't want to walk around with you I don't want to walk around with you So why you want to walk around with me? I don't want to walk around with you I don't want to walk around with you  I don't want to walk around with you I don't want to walk around with you I don't want to walk around with you So why you want to walk around with me? I don't want to walk around with you I don't want to walk around with you
913,I Don’T Want You,Live In Europe: Head Bangers Bring Down the House,Ramones,"You said that you'd be true Baby said that you'd be true I don't care, I don't care  I don't care, I don't care I don't want you  Don't want you  I don't want you anymore You said that you'd be mine  Baby said that you'd be mine I don't care, I don't care  I don't care, I don't care I don't want you...  I want you I want you to stay But I guess that it just can't be that way  You said that you'd be true  Baby said that you'd be true I don't care, I don't care  I don't care, I don't care I don't want you...  Don't want want you..."
914,I Fall,Smash It Up: The Anthology 1976-1987,The Damned,"I gotta full moon A smaller room than I need A candy store, a sexy whore Yes, I bleed A sifting sand and an electric hand Yes, I'm fine Got a souped-up truck or a goblin suck Yes I'm blind  And I fall Well, I fall Well, I fall Yeah I fall  My mind's a raging blame A crying shame and I'm sad A city of sin, a bottle of gin So doggone bad A cool reaction for the big attraction That's fine A pissed-off god, oh mother of god Yeah, I'm blind  And I fall Well, I fall Well, I fall Yeah I fall  I'm a falling angel Falling down Be a falling angel Won't you come on around? Don't be scared to follow It's no crime You're a falling angel Before your time  And I fall Well, I fall Well, I fall Yeah I fall"
915,I Feel Alright,The Light at the End of the Tunnel,The Damned,"Hey, Keith? Yeah!  Outta my mind on a Saturday night Nineteen-seventy-seven, babies Rolling in sight Radio's burnin' up above Beautiful baby, be my love Alright till I blow away Alright till I blow away  I feel alright  I feel alright  Feel alright   Baby, oh baby, burn my heart Baby, oh baby, burn my heart Fall apart, now baby, fall apart Baby, oh baby, burn my heart Alright, till I blow away Alright, till I blow away  I feel alright  I feel alright  Feel alright  Feel alright Feel alright  Outta my mind on a Saturday night Ninteen-seventy-seven, babies Rolling in sight Radio's burnin', up above Beautiful baby, be my love Alright, till I blow away Alright, till I blow away  I feel alright  I feel alright  Feel alright"
916,I Fought the Law,The Singles [Box Set],The Clash,Breakin' rocks in the hot sun I fought the law and the law won I fought the law and the law won I needed money 'cause I had none I fought the law and the law won I fought the law and the law won  I left my baby and it feels so bad Guess my race is run She's the best girl that I ever had I fought the law and the law won I fought the law and the  Robbin' people with a six-gun I fought the law and the law won I fought the law and the law won I lost my girl and I lost my fun I fought the law and the law won I fought the law and the law won  I left my baby and it feels so bad Guess my race is run She's the best girl that I ever had I fought the law and the law won I fought the law and the  I fought the law and the law won I fought the law and the law won I fought the law and the law won I fought the law and the law won I fought the law and the law won I fought the law and the law won I fought the law and the law won I fought the law and the
917,I Found Away,Agony & Irony [Itunes Exclusive Version],Alkaline Trio,"Storming through the dark with a broken heart All alone at it once again Seeping in like a feeling You haven't felt since way back when In the dead of that night Like the summer of Sam I got word of the promotion You caused me a telegram And got all worked up We got all worked up   I found a way Through the fear and through the flames I'm diving in, don't follow me Stay right here, I'll be back for you someday I found a way It'd be best if you just stayed It's not safe, don't follow me I found a way I found a way  Frozen in the lights of a locomotive Tied to the tracks again You said you haven't felt this comatose Since you can't remember when Fly off the handle every time We sleep straight off with it    Oh whoa Oh whoa  From the top of my lungs The truth shall be sung Sharp and damning Violently stabbing at secrecy That look on your face It's more than I can take It scaring the living hell shit out of me    I found a way I found a way"
918,I Got a Right,Live 1971 & Early Live Rarities,The Stooges,"Anytime I want I got a right to move No matter what they say Anytime I want I got a right to move No matter what they say  I got a right, I got a right to move Anytime I want, anytime I got a right, I got a right to move Anytime I want  Anytime I want I got a right to sing No matter what they say Anytime I want I got a right to sing No matter what they say  I got a right, I got a right to sing Anytime I want I got a right, I got a right to sing Anytime I want"
919,I Hate You,Undisputed Attitude [Germany],Slayer,You were just a waste of sperm They way you look Makes my stomach turn The way you think Is no way at all  God you really think you have balls  I hate you Ain't it true I hate you And everything you do  You walk around like a fucking dick And every time you're near You know I get real sick  You're so stupid There's nothing in your head God how I wish that you were dead  I hate you Ain't it true I hate you And everything you do  You were just a waste of sperm They way you look Makes my stomach turn The way you think Is no way at all
920,I Hear You Calling,The World According to Gob,Gob,"I've seen you now about the fourth time baby  But you know that I've got nothing to say  Its so charming to look on your face but your eyes  Inviting something I just can't do now I've been around  About you hood I'm looking for you just to shine some light  On my day feels like ages since I've been out your way  I've been caught up with handful of new sensation  I hear you calling calling for me out in the night but it's all bad and I know that I've seen you now about the fifth time baby  But you know that I've got nothing to say  Its so charming to look on your face but your eyes  Inviting something I just can't do now I've been around  About you hood I'm looking for you just to shine some light  On my day feels like ages since I've been out your way  I've been caught up with handful of new sensation   I hear you calling, calling for me out in the night  But it's all bad and I know that  But it's all bad and I know that  But it's all bad and I know that  But it's all bad and I know that  But it's all bad and I know that"
921,I Just Can't Be Happy Today,Machine Gun Etiquette,The Damned,"I Just Can't Be Happy Today I Just Can't Be Happy Today  A lot of you know there's nothing to smile There's no feeling fine without being fined It's a price on your head No point being sad when justice is red  I Just Can't Be Happy Today I Just Can't Be Happy Today  They're closing the schools They're burning the books The church is in ruins The priests hang on hooks The radios on ice The telly's been banned The army's in power The devil commands  Illegal to dance Forbidden to cry You do what you're told and never ask why Ignore all those fools They don't understand we make our own rules  I Just Can't Be Happy Today I Just Can't Be Happy Today I Just Can't Be Happy, Just Can't Be Happy, Just Can't Be Happy Today I Just Can't Be Happy, Just Can't Be Happy, Just Can't Be Happy Today"
922,I Just Can’t Be Happy Today,Another Live Album From the Damned... Too Close But Two Worlds Away!,The Damned,"I Just Can't Be Happy Today I Just Can't Be Happy Today  A lot of you know there's nothing to smile There's no feeling fine without being fined It's a price on your head No point being sad when justice is red  I Just Can't Be Happy Today I Just Can't Be Happy Today  They're closing the schools They're burning the books The church is in ruins The priests hang on hooks The radios on ice The telly's been banned The army's in power The devil commands  Illegal to dance Forbidden to cry You do what you're told and never ask why Ignore all those fools They don't understand we make our own rules  I Just Can't Be Happy Today I Just Can't Be Happy Today I Just Can't Be Happy, Just Can't Be Happy, Just Can't Be Happy Today I Just Can't Be Happy, Just Can't Be Happy, Just Can't Be Happy Today"
923,I Know a Place,Singles 06-07,Jay Reatard,I know a place Where we can go To be alone  I know a place Where we can crawl to die  Away Away from here  And please don't you cry Whip the tears away from your eyes If we both weren't so sad Maybe this thing isn't so bad  Yes we both We ask what we ask for Yes we both We ask what we ask for Today  I know a place Where I can go To be alone  I know a place Where I can crawl to die  Away Away from you  And please don't you cry Whip the tears away from your eyes If we both weren't so sad Maybe this thing isn't so bad  Yes we both We ask what we ask for Yes we both We ask what we ask for
924,I Know You,The Boxed Life,Henry Rollins,"I know you You are too short You had bad skin You couldn't talk to them very well Words didn't seem to work They lied when they came out of your mouth You tried so hard to understand them You wanted to be part of what was happening You saw them having fun And it seemed like such a mystery Almost magic Made you think there was something wrong with you You'd look in the mirror trying to find it You thought you were ugly And everyone was looking at you So you learned to be invisible To look down To avoid conversation The hours, days, weekends Ah the weekend nights alone Where were you? In the basement? In the attic? In your room? Working some job? Just to have something to do? Just to have a place to put yourself? Just to have a way to get away from them A chance to get away from the ones who made you feel so strange and Ill-at-ease inside yourself Did you ever get invited to one of their parties? You sat and wondered if you would go or not For hours you imagined the scenarios that might transpire They would laugh at you If you'd know what to do If you would had the right things on If they' d notice you came from a different planet Did you get all brave in your thoughts? Like you were going to go in there and deal with it And have a great time Did you think that you might be the life of the party? That all these people were going to talk to you To find out that you were wrong That you had a lot of friends and you weren't so strange after all Did you end up going? Did they mess with you? Did they single you out? Did you find out you were invited because they thought you were so weird  Yeah, I think I know you You spent alot of time full of hate A hate as pure as sunshine A hate that saw for miles A hate that kept you up at night A hate that filled your every waking moment A hate that carried you for a long time  Yes, I think I know you You couldn't figure out what they saw in the way they lived Home was not home Your room was home A corner was home The place they weren't That was home  I know you You're sensitive and you hide cuz you fear getting stepped on one more time It seems that when you show a part of yourself  That is the least bit vulnerable someone takes advantage of you One of them steps on you They mistake kindness for weakness But you know the difference You've been the brunt of their weakness for years And strength is something you know a bit about Because you had to be strong to keep yourself alive  You know yourself very well you now And you don't trust people You know them too well  You try to find that special person Someone you can be with Someone you can touch Someone you can talk to Someone you wont feel so strange around And you found that they don't really exist You feel closer to people on movie screens  Yeah, I think I know you You spend a lot of time day dreaming And people have made comment to that affect Telling you that your self involved and self centered But they don't know do they? About the long night shifts alone About the years of keeping yourself company All the nights you wrapped your arms around yourself so you could imagine someone holding you The hours of indecision, self doubt, The intense depression The blinding hate the rage that made you stagger The devastation of rejection  Well, maybe they do know But if they do they sure do a good job of hiding it It astounds you how they can be so smooth How they seem to pass through life As if life itself was some divine gift And it infuriates you to watch yourself  With your apparent skill in finding every way possible to screw it up For you life is a long trip Terrifying and wonderful Birds sing to you at night The rain and the sun The changing seasons are true friends Solitude is a hard won allie Faithful and patient  Yeah I think I know you"
